Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
deuceace.world,available,54,2%,9,Sports,,,
achromatic.world,available,54,4%,10,Science,,,
accentual.world,available,54,3%,9,"Arts,Entertainment",,,
actuated.world,available,54,2%,8,"Automotive,Manufacturing,Technology",,,
adpressed.world,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
sise.world,available,54,5%,4,Mathematics,,,
abaxial.world,available,54,1%,7,Science,,,
quintuplet.world,available,54,1%,10,"Healthcare,Medicine,Science",,,
scratchy.world,expiring,54,3%,8,Fashion,31/08/2022 21:36,31/08/2025 21:36,"Name.com, Inc."
abatable.world,available,54,1%,8,Law,,,
ternion.world,available,54,3%,7,Mathematics,,,
adductive.world,available,54,0%,9,"Engineering,Mathematics,Science",,,
deserted.world,available,54,3%,8,"Hospitality,Real Estate",,,
quadruplet.world,available,54,1%,10,"Healthcare,Medicine,Science",,,
quaternion.world,available,54,6%,10,Mathematics,,,
vii.world,resell,54,13%,3,Mathematics,14/01/2025 12:17,14/01/2026 12:17,"Sav.com, LLC"
abducens.world,available,54,1%,8,Medicine,,,
fortyfive.world,available,54,4%,10,Mathematics,,,
adaxial.world,available,54,2%,7,Science,,,
abhorrent.world,available,54,1%,9,Humanities,,,
abatic.world,available,54,1%,6,Science,,,
monitory.world,available,54,3%,8,"Business,Education,Healthcare",,,
abient.world,available,54,1%,6,Science,,,
viii.world,available,54,6%,4,Mathematics,,,
aboral.world,available,54,2%,6,Science,,,
adducting.world,available,54,1%,9,"Engineering,Mathematics,Science",,,
fin.world,expiring,54,30%,3,Finance,13/09/2015 21:02,13/09/2025 21:02,"GoDaddy.com, LLC"
topnotch.world,resell,54,18%,8,Business,29/11/2022 14:35,29/11/2025 14:35,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn)
abasic.world,available,54,1%,6,Science,,,
quatern.world,available,54,2%,7,Mathematics,,,
adjuratory.world,available,54,0%,10,"Law,Politics,Religion",,,
achy.world,available,54,3%,4,Healthcare,,,
threescore.world,available,54,1%,10,Mathematics,,,
unnatural.world,available,54,4%,9,"Medicine,Science",,,
septet.world,available,53,1%,6,General,,,
xxx.world,available,53,30%,3,"Arts,Entertainment,Media",,,
sestet.world,available,53,1%,6,Arts,,,
lxvi.world,available,52,3%,4,Mathematics,,,
tierce.world,available,52,3%,6,General,,,
repulsive.world,available,52,1%,9,Humanities,,,
littlejoe.world,available,52,2%,10,"Entertainment,Media",,,
lxxxvi.world,available,52,1%,6,Mathematics,,,
eightytwo.world,available,52,4%,10,Mathematics,,,
sixtytwo.world,available,52,3%,9,Mathematics,,,
ninetytwo.world,available,52,4%,10,Mathematics,,,
xcviii.world,available,52,1%,6,Mathematics,,,
xcvii.world,available,52,1%,5,Mathematics,,,
decumbent.world,available,52,1%,9,"Healthcare,Medicine,Science",,,
lxviii.world,available,52,1%,6,Mathematics,,,
lxxv.world,available,52,1%,4,Mathematics,,,
detestable.world,available,52,1%,10,Humanities,,,
lxxvi.world,available,52,1%,5,Mathematics,,,
lxxiv.world,available,52,1%,5,Mathematics,,,
lxiii.world,available,52,2%,5,Mathematics,,,
lxxxiv.world,available,52,1%,6,Mathematics,,,
eightyone.world,available,52,3%,10,Mathematics,,,
lxxvii.world,available,52,2%,6,Mathematics,,,
abysmal.world,available,52,4%,7,"Arts,Entertainment,Media",,,
chagrined.world,available,52,1%,9,Humanities,,,
sixtyfive.world,available,52,3%,10,Mathematics,,,
xci.world,available,52,4%,3,Mathematics,,,
odious.world,available,52,2%,6,"Entertainment,Humanities",,,
uphill.world,available,52,7%,6,"Sports,Transportation,Travel",,,
xciii.world,available,52,1%,5,Mathematics,,,
repugnant.world,available,52,1%,9,Humanities,,,
sixtysix.world,available,52,4%,9,Mathematics,,,
lxv.world,resell,52,5%,3,Mathematics,14/06/2025 09:29,14/06/2026 09:29,"Sav.com, LLC"
ninetysix.world,available,52,4%,10,Mathematics,,,
aboulic.world,available,52,1%,7,Medicine,,,
lxxi.world,available,52,1%,4,Mathematics,,,
lxvii.world,available,52,1%,5,Mathematics,,,
xcvi.world,available,52,2%,4,Mathematics,,,
lxxxiii.world,available,52,1%,7,Mathematics,,,
adenoidal.world,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
ixl.world,resell,52,9%,3,Mathematics,01/04/2025 17:03,01/04/2026 17:03,"Sav.com, LLC"
abstruse.world,available,52,5%,8,"Humanities,Mathematics,Science",,,
lxxii.world,available,52,1%,5,Mathematics,,,
xciv.world,available,52,2%,4,Mathematics,,,
lxxxv.world,available,52,1%,5,Mathematics,,,
ablated.world,available,52,1%,7,Science,,,
ixc.world,available,52,5%,3,Mathematics,,,
lxxxii.world,available,52,1%,6,Mathematics,,,
sixtyfour.world,available,52,3%,10,Mathematics,,,
lxii.world,available,52,1%,4,Mathematics,,,
lxxxvii.world,available,52,1%,7,Mathematics,,,
abusive.world,expiring,52,3%,7,"Healthcare,Law",01/09/2024 12:19,01/09/2025 12:19,Dynadot Inc
lxxiii.world,available,52,1%,6,Mathematics,,,
xcii.world,available,52,2%,4,Mathematics,,,
lxxxi.world,available,52,1%,5,Mathematics,,,
adhominem.world,available,50,2%,10,"Humanities,Law,Politics",,,
acerbic.world,available,50,2%,7,"Arts,Humanities,Media",,,
aborticide.world,available,50,0%,10,Medicine,,,
aculeated.world,available,50,0%,9,"Engineering,Medicine,Science",,,
abducting.world,available,50,0%,9,Medicine,,,
acellular.world,available,50,1%,9,Science,,,
abbatial.world,available,50,0%,8,Religion,,,
needlelike.world,available,50,0%,10,"Engineering,Medicine,Science",,,
vinegary.world,available,50,1%,8,Food and Beverage,,,
acapnic.world,available,50,0%,7,"Healthcare,Medicine,Science",,,
adactylous.world,available,50,0%,10,Science,,,
abdicable.world,available,50,0%,9,Law,,,
trine.world,available,50,11%,5,"General,Religion",,,
scummy.world,available,50,1%,6,Humanities,,,
abomasal.world,available,50,0%,8,Agriculture,,,
cinque.world,available,50,7%,6,Mathematics,,,
abactinal.world,available,50,0%,9,Science,,,
acquitted.world,available,50,1%,9,Law,,,
ogdoad.world,available,50,1%,6,Mathematics,,,
acerose.world,available,50,1%,7,Science,,,
acapnotic.world,available,50,0%,9,"Healthcare,Medicine,Science",,,
acetose.world,available,50,1%,7,Science,,,
gillless.world,available,50,0%,9,Science,,,
acetous.world,available,50,1%,7,Science,,,
quint.world,available,50,13%,5,"Arts,Entertainment",,,
lxx.world,available,50,5%,3,Mathematics,,,
abranchial.world,available,50,0%,10,Science,,,
broached.world,available,50,0%,8,Food and Beverage,,,
acaudal.world,available,50,1%,7,"Agriculture,Science",,,
spinous.world,available,50,1%,7,"Agriculture,Science",,,
acerb.world,available,50,2%,5,Science,,,
lxxxviii.world,available,48,1%,8,Mathematics,,,
notguilty.world,available,48,5%,10,Law,,,
execrable.world,available,48,0%,9,"Entertainment,Humanities",,,
ilxxx.world,available,48,1%,5,Mathematics,,,
ilxx.world,available,48,1%,4,Mathematics,,,
apriori.world,expiring,48,13%,8,Mathematics,29/08/2015 01:33,29/08/2025 01:33,"GoDaddy.com, LLC"
acanthous.world,available,46,0%,9,"Agriculture,Science",,,
acheronian.world,available,46,1%,10,Humanities,,,
acapnial.world,available,46,0%,8,"Healthcare,Medicine,Science",,,
achromous.world,available,46,1%,9,Science,,,
acetylenic.world,available,46,1%,10,Science,,,
acephalous.world,available,46,1%,10,Science,,,
acetonic.world,available,46,1%,8,Science,,,
vinegarish.world,available,46,1%,10,Food and Beverage,,,
acaudate.world,available,46,1%,8,"Agriculture,Science",,,
acanthoid.world,available,46,1%,9,"Agriculture,Science",,,
cotyloid.world,available,46,1%,8,Science,,,
acarpelous.world,available,46,0%,10,"Agriculture,Science",,,
acanthotic.world,available,46,0%,10,"Agriculture,Science",,,
achromic.world,available,46,2%,8,Science,,,
acetabular.world,available,46,1%,10,Science,,,
quaternary.world,available,46,3%,10,Mathematics,,,
achenial.world,available,46,1%,8,Science,,,
stripling.world,available,46,2%,9,"Education,Entertainment,Healthcare",,,
acarpous.world,available,46,0%,8,"Agriculture,Science",,,
acicular.world,available,46,2%,8,Science,,,
stemless.world,available,46,2%,8,"Agriculture,Science",,,
acetylic.world,available,46,1%,8,Science,,,
theabsurd.world,available,46,1%,10,"Arts,Entertainment,Media",,,
accusatory.world,available,44,1%,10,Law,,,
acherontic.world,available,44,1%,10,Humanities,,,
cotyloidal.world,available,44,1%,10,Science,,,
abscessed.world,available,41,0%,9,Healthcare,,,
scurrilous.world,available,40,1%,10,"Entertainment,Media,Politics",,,
accurst.world,available,40,1%,7,Religion,,,
accusive.world,available,40,1%,8,Law,,,
